9998,0,0
9999,0,1
9999,0,2
8090,0,3
8181,0,4
9998,0,5
9999,0,6
9999,0,7
9999,0,8
9991,0,9
8542,0,10
9999,0,11
9999,0,12
9999,0,13
9997,0,14
8170,0,15
8155,0,16
9999,0,17
9995,0,18
9998,0,19
9999,0,20
9999,0,21
9995,0,22
8160,0,23
9996,0,24
9999,0,25
9992,0,26
9999,0,27
9998,0,28
9998,0,29
9999,0,30
9999,0,31
9999,0,32
9999,0,33
8500,0,34
9997,0,35
9999,0,36
9999,0,37
9993,0,38
9998,0,39
9999,0,40
8214,0,41
9999,0,42
9999,0,43
9989,0,44
7897,0,45
9999,0,46
7871,0,47
9999,0,48
9999,0,49
9998,0,50
8275,0,51
7963,0,52
9998,0,53
9999,0,54
9999,0,55
8356,0,56
7943,0,57
9999,0,58
9999,0,59
9999,0,60
9999,0,61
9999,0,62
7783,0,63
8088,0,64
9999,0,65
9999,0,66
8619,0,67
8052,0,68
9999,0,69
9999,0,70
9996,0,71
9999,0,72
9999,0,73
9996,0,74
8017,0,75
9998,0,76
9999,0,77
9998,0,78
9998,0,79
8002,0,80
9999,0,81
9999,0,82
8267,0,83
9999,0,84
9999,0,85
9992,0,86
9999,0,87
9999,0,88
9997,0,89
9999,0,90
8018,0,91
9999,0,92
9999,0,93
9999,0,94
9997,0,95
9998,0,96
8015,0,97
9988,0,98
9999,0,99
