,Average Degree,Variance,Global Clustering Coefficient,Local Clustering Coefficient,Degree Assortativity
dms-200-20,3.97,105.75556297424737,0.11416490486257928,0.8070047457671292,-0.31914843770815404,
ba-200-21,3.97,89.39932382294622,0.03410036041031328,0.10676682755476741,-0.21070253861610427,
dms-200-21,3.97,100.57951630426545,0.12722210323409724,0.8086983710687098,-0.2462325688508178,
ba-200-22,3.97,84.19168070539986,0.040887480190174325,0.08954674805758397,-0.1711611229275084,
dms-200-22,3.97,114.06243509587195,0.09712230215827339,0.8104856888209829,-0.2810032985112015,
ba-200-23,3.97,83.06767782958664,0.043123162365240116,0.09297191601531792,-0.12683838971395534,
dms-200-23,3.97,105.41460572425436,0.11496032514031353,0.815389161580028,-0.24503518611682767,
ba-200-24,3.97,86.3147675661587,0.03776978417266187,0.08537274409457073,-0.15338480262534965,
dms-200-24,3.97,98.65211148272499,0.13267813267813267,0.8072987122823514,-0.25440383744833334,
ba-200-25,3.97,81.70825600880244,0.03458799593082401,0.08076581805993571,-0.1666588247458492,
dms-200-25,3.97,104.24125430941437,0.11776367961934972,0.8072102627968896,-0.2281003522479735,
ba-200-26,3.97,90.90786049621892,0.0448837830617152,0.13952004437133747,-0.15065010920805508,
dms-200-26,3.97,102.01097538990597,0.12339011217282925,0.8024548947569459,-0.2666206916812537,
ba-200-27,3.97,86.4999369941967,0.032219570405727926,0.08904026984351342,-0.15021147032848606,
dms-200-27,3.97,106.30258275319561,0.11290629157954761,0.8081517988470464,-0.2498336747576504,
ba-200-28,3.97,86.79999481566804,0.035523978685612786,0.11064666870678401,-0.21663618304728183,
dms-200-28,3.97,109.66421066145509,0.10561877667140825,0.8172935275863665,-0.2501381776277189,
ba-200-29,3.97,86.73084284151746,0.042704626334519574,0.14226599429579928,-0.18609445014785128,
dms-200-29,3.97,103.74121215794618,0.11899038461538461,0.8158194463395683,-0.3173390925136743,
ba-200-30,3.97,81.54899815448378,0.0326975476839237,0.07658629839040305,-0.15704069404123894,
dms-200-30,3.97,95.39517335798494,0.14275414563806776,0.7962795023125026,-0.24877551406085685,
ba-200-31,3.97,76.23804234107799,0.03575685339690107,0.06420348661486433,-0.11162207810687699,
dms-200-31,3.97,112.84608588692831,0.09936433589829374,0.8172260929711487,-0.26656864350708465,
ba-200-32,3.97,80.3507255723307,0.03064459316660796,0.07002507156554567,-0.19403349665522582,
dms-200-32,3.97,108.77609617926174,0.1074724081780351,0.805630785453231,-0.28324862340365353,
ba-200-33,3.97,81.29107638603391,0.04013722126929674,0.08762853235739897,-0.11504344095924306,
dms-200-33,3.97,105.06302441867929,0.11578947368421053,0.8027698342585954,-0.23785680613181207,
ba-200-34,3.97,78.14242829602878,0.03265765765765766,0.06084592350187315,-0.14564590052622628,
dms-200-34,3.97,105.98225842092629,0.11364071168930553,0.8017829442592288,-0.26279401841807287,
ba-200-35,3.97,81.72049375768601,0.04169491525423729,0.10929113305774027,-0.13576951107085314,
dms-200-35,3.97,106.96840234386976,0.11140285071267816,0.7984971068770244,-0.2178848364161984,
ba-200-36,3.97,80.42536353663563,0.03479789103690686,0.06242976646676337,-0.140118180560608,
dms-200-36,3.97,113.92207468265315,0.09737704918032787,0.8099619812658605,-0.23684525321535066,
ba-200-37,3.97,79.73856720558753,0.04408602150537634,0.08907801126076988,-0.11347406004127854,
dms-200-37,3.97,106.72506312951987,0.11194873727855258,0.8101502780844886,-0.2644521867206196,
ba-200-38,3.97,82.4999339393675,0.0378234903782349,0.08681391804229334,-0.1778928774676939,
dms-200-38,3.97,108.8312413785674,0.1073558648111332,0.8087037147793726,-0.2429293566686088,
ba-200-39,3.97,86.97263420179937,0.03536693191865606,0.1076925237449961,-0.18257653734608678,
dms-200-39,3.97,101.2533411794396,0.12539582013932868,0.8126162878357646,-0.2537135241301909,
ba-300-0,3.98,110.91510086548179,0.026429341963322545,0.06888270794965841,-0.13549980444220158,
dms-300-0,3.98,139.87194000227493,0.09724790601544654,0.8051308997455693,-0.2346369018796943,
ba-300-1,3.98,104.9007130576337,0.02381437003867291,0.03754384088966132,-0.11099541684134864,
dms-300-1,3.98,130.7675785506484,0.1122974500690868,0.8029062667943989,-0.2379981212167077,
ba-300-2,3.98,107.58326821583364,0.03289726818006926,0.09490658401541115,-0.14407484874247914,
dms-300-2,3.98,129.1052268500389,0.11542930923176242,0.812285302663477,-0.26553992498972934,
ba-300-3,3.98,101.75539101197539,0.024193548387096774,0.05100555992476209,-0.15236483217096117,
dms-300-3,3.98,133.91101373673487,0.10672078309657396,0.8033617634058811,-0.23116551725986131,
ba-300-4,3.98,105.28133547785191,0.03391883706844337,0.07664123747648585,-0.10546995653306895,
dms-300-4,3.98,145.60961369360197,0.08929284858170196,0.8054702436222623,-0.2068527765118733,
ba-300-5,3.98,102.6944964445515,0.0269000853970965,0.06467871561273719,-0.12853438878274434,
dms-300-5,3.98,139.0760928412932,0.09843646773838362,0.8170662872062325,-0.21225551812733112,
ba-300-6,3.98,111.17625465898732,0.028975138615632265,0.0806452251126423,-0.15520536744905272,
dms-300-6,3.98,136.07409599185291,0.10312608143961241,0.8124154957659251,-0.24626788797918725,
ba-300-7,3.98,99.12698724363614,0.029139685476410732,0.06641061456359242,-0.11912965828622955,
dms-300-7,3.98,145.33464693595948,0.08965102286401926,0.8123519550826045,-0.2711163152219946,
ba-300-8,3.98,99.87071442620204,0.0252387448840382,0.057536087078821435,-0.11237253178673784,
dms-300-8,3.98,143.80597901339152,0.09168290431750589,0.7968341584461598,-0.20701587851474948,
ba-300-9,3.98,102.73343954136843,0.025597269624573378,0.056794055974106555,-0.1053410835835247,
dms-300-9,3.98,131.7427781701904,0.1105204598837928,0.8045395282212394,-0.22765640637589973,
ba-300-10,3.98,103.32550314418992,0.02147820593809223,0.044641019846630756,-0.12661932866021153,
dms-300-10,3.98,141.58446101179322,0.09476362094551621,0.8158695591599247,-0.28658558020167735,
ba-300-11,3.98,104.26005754842072,0.025381758151052414,0.06288474755351185,-0.11242057745496731,
dms-300-11,3.98,140.4142428673103,0.09645053403819183,0.8140976026836622,-0.2388832084075221,
ba-300-12,3.98,110.09159640953528,0.02577225370133431,0.08297522311507007,-0.1775140189185561,
dms-300-12,3.98,132.88400806718616,0.10849514563106796,0.8027041715967497,-0.24255764934118249,
ba-300-13,3.98,102.96678882047357,0.02164685908319185,0.05241855800019446,-0.13673720739305686,
dms-300-13,3.98,142.2468263266355,0.09382871536523929,0.8145152336074342,-0.27104733438495016,
ba-300-14,3.98,102.61656591408621,0.03015397775876818,0.07747235005326177,-0.13358660387386742,
dms-300-14,3.98,140.2004265328747,0.09676371901720965,0.8102111306681459,-0.2472120851776907,
ba-300-15,3.98,103.71190674170445,0.02568385884318229,0.05157390137533168,-0.1099306353139627,
dms-300-15,3.98,141.85964753939015,0.09437348252929378,0.814417912908511,-0.24947604577860497,
ba-300-16,3.98,102.03999019992114,0.02599090318388564,0.03590199491057455,-0.07868345474071942,
dms-300-16,3.98,127.91465748693541,0.11775553213909379,0.8101045504758954,-0.246402987478676,
ba-300-17,3.98,101.38125862308083,0.024395604395604394,0.05469338214404845,-0.1281040506955972,
dms-300-17,3.98,143.39511707167716,0.09224102352455633,0.8088921927932226,-0.20967110491896793,
ba-300-18,3.98,106.84642998247531,0.032232857980074234,0.06909909816956966,-0.11243414660710965,
dms-300-18,3.98,143.6389905283381,0.0919091189472602,0.8050537837979014,-0.22056557191735232,
ba-300-19,3.98,101.4305654129957,0.02239297475301866,0.054844042889629775,-0.13079334454429123,
dms-300-19,3.98,143.778161067667,0.09172052939365959,0.809363951146034,-0.2434309207896349,
ba-300-20,3.98,103.40289937907932,0.024595333193188986,0.049598532582218136,-0.0963000304050958,
dms-300-20,3.98,135.36675958299364,0.10428088183832963,0.8039546850160885,-0.22721277192574904,
ba-300-21,3.98,105.3952541626045,0.022356495468277945,0.05573180914360202,-0.14643785205451973,
dms-300-21,3.98,127.24841688602653,0.11908885040628746,0.8112891698647352,-0.2607348379392175,
ba-300-22,3.98,104.26964850808696,0.027852279760676706,0.05402850098647832,-0.12944364489439664,
dms-300-22,3.98,135.34459575468833,0.1043173862310385,0.8140404732421982,-0.2574035986932133,
ba-300-23,3.98,100.09075681600174,0.01764705882352941,0.027859805994102704,-0.09112336486579414,
dms-300-23,3.98,134.75221556620136,0.10530035335689046,0.821223788661424,-0.2583896945595773,
ba-300-24,3.98,101.15413782935427,0.03445990722332671,0.07161588265535634,-0.10397621348997207,
dms-300-24,3.98,132.92162954162126,0.10842935112189206,0.8075679764135647,-0.23461907500080956,
ba-300-25,3.98,103.00562897240131,0.02544529262086514,0.07268296095171727,-0.14282758355410255,
dms-300-25,3.98,145.43782039070854,0.08951637128266747,0.803844858970161,-0.2141811907869472,
ba-300-26,3.98,102.1477341892614,0.027225583405358685,0.06889609496676034,-0.18665099193904763,
dms-300-26,3.98,133.5371094490217,0.10736159481205716,0.8076755726306097,-0.22410221474484718,
ba-300-27,3.98,112.44625204959034,0.026687598116169546,0.08035193302737162,-0.13777546578060762,
dms-300-27,3.98,142.04984899675185,0.09410526315789473,0.8126108555630794,-0.25158681140347217,
ba-300-28,3.98,112.13456023902711,0.02263952263952264,0.06584556919485457,-0.12563730288078398,
dms-300-28,3.98,135.21153649004955,0.10453695042095416,0.8099627449548502,-0.22701648436551186,
ba-300-29,3.98,103.9526796191421,0.03365184877440797,0.08096856419835728,-0.1380436685618066,
dms-300-29,3.98,131.7427781701904,0.1105204598837928,0.8153077559487537,-0.25293267799026414,
ba-300-30,3.98,97.2839123390913,0.01955104996379435,0.04126734890687419,-0.17770130259477687,
dms-300-30,3.98,138.86741734474649,0.09875179498508782,0.8080900413464125,-0.23277025446024538,
ba-300-31,3.98,104.97694794572759,0.023166023166023165,0.054619670958281595,-0.15780315942439088,
dms-300-31,3.98,139.87194000227493,0.09724790601544654,0.8066444762566565,-0.23580900082705641,
ba-300-32,3.98,106.3774393374836,0.025448806470704282,0.059054677563911494,-0.12479077662702477,
dms-300-32,3.98,141.99351957043672,0.09418457648546144,0.8180420354616212,-0.2359947221949666,
ba-300-33,3.98,112.38398284453173,0.031435557107928745,0.10170260834675361,-0.15288007305069976,
dms-300-33,3.98,130.2465339270109,0.11326491828202205,0.8043159411022794,-0.2089756011538894,
ba-300-34,3.98,102.76263717908373,0.023662332125346408,0.05095637133757409,-0.12454029728164756,
dms-300-34,3.98,148.6141298800353,0.08551750526114406,0.8243959850562648,-0.24790862243988676,
ba-300-35,3.98,103.53820357723038,0.027667155732550828,0.07221596712125944,-0.1476909493626941,
dms-300-35,3.98,133.9856693829605,0.10659353761774175,0.8018352789186123,-0.19866973443225486,
ba-300-36,3.98,102.30425015609079,0.027131782945736434,0.05527718578776931,-0.09686003356485699,
dms-300-36,3.98,134.2019359025793,0.10622623574144487,0.8103726802641207,-0.2428597683087752,
ba-300-37,3.98,101.17390770351811,0.023183925811437404,0.05092832407662047,-0.160976152648532,
dms-300-37,3.98,135.83136456650945,0.10352014821676703,0.8050598310374173,-0.22449636749989965,
ba-300-38,3.98,101.32205880261218,0.02970950704225352,0.07063472563530623,-0.14120819376474086,
dms-300-38,3.98,130.62220178821056,0.11256610425585495,0.8067334894788616,-0.23671306305951784,
ba-300-39,3.98,107.30405211360846,0.026702786377708978,0.07151638145471968,-0.145533630906377,
dms-300-39,3.98,140.48544266222035,0.09634658907209828,0.8046171453243616,-0.24627582277090335,
ba-400-0,3.985,126.86260195581674,0.021906861394323504,0.058996861303105365,-0.1364589114076668,
dms-400-0,3.985,167.0871622088304,0.09066059225512528,0.8065896466295186,-0.22118026125184223,
ba-400-1,3.985,125.0524680883988,0.021763869132290184,0.04986908826495069,-0.14960658112290112,
dms-400-1,3.985,172.1049673164607,0.08515797731973468,0.8061692950437199,-0.21193530632434,
ba-400-2,3.985,124.03273670688718,0.01955671447196871,0.03596201652092117,-0.12230908031105055,
dms-400-2,3.985,158.49327990485907,0.10143573188344236,0.8073416890322501,-0.2100598648029013,
ba-400-3,3.985,127.9457688827575,0.020281233098972416,0.04024765462490193,-0.09957951251900726,
dms-400-3,3.985,158.9280333201163,0.10084459459459459,0.8079242920335026,-0.23333702392101746,
ba-400-4,3.985,127.15392158718502,0.022618231665524333,0.059104121809493,-0.1387171602011746,
dms-400-4,3.985,166.58967487512544,0.09123557729044089,0.8154135642241214,-0.2485803712937829,
ba-400-5,3.985,121.26879143044182,0.02102376599634369,0.05094151868482803,-0.10562197844462139,
dms-400-5,3.985,154.15615386678536,0.10763544577661588,0.8103127046440077,-0.22853293633675592,
ba-400-6,3.985,118.19526122057516,0.024693350548741125,0.04236083054623124,-0.08184094867701648,
dms-400-6,3.985,171.16693540225577,0.08614718614718615,0.8030737207332348,-0.19753341445184466,
ba-400-7,3.985,129.81571466891054,0.027890532931779493,0.07692392452320543,-0.14481888615363536,
dms-400-7,3.985,164.42663949311864,0.09380155550318171,0.8020310967165827,-0.21627840671375748,
ba-400-8,3.985,126.7916392156833,0.01862325838046627,0.054072582649405086,-0.14431058262218427,
dms-400-8,3.985,170.10620145955878,0.08728708238906353,0.8121402056385923,-0.19612168852357786,
ba-400-9,3.985,121.25229801946023,0.023316062176165803,0.05210715059290144,-0.10165175455628495,
dms-400-9,3.985,171.29541667832214,0.08601066128799885,0.815127449984926,-0.21934961316588805,
ba-400-10,3.985,123.33742244347414,0.024644271673756785,0.059047415088469606,-0.12943334766814085,
dms-400-10,3.985,164.76686491828386,0.09339069221744231,0.8037728573745553,-0.21622009886070412,
ba-400-11,3.985,127.18537563336439,0.026304973284011508,0.06018062798915498,-0.082046503337165,
dms-400-11,3.985,146.11680182306208,0.12077685616022658,0.8097266476245939,-0.20832067948950453,
ba-400-12,3.985,119.5663822945229,0.02122975310583425,0.03147687278972974,-0.10218803635938925,
dms-400-12,3.985,161.4500534995266,0.09751715125775891,0.8067961392227321,-0.21759234567091656,
ba-400-13,3.985,116.43933946480459,0.01702838063439065,0.039177590419088325,-0.1337039938637747,
dms-400-13,3.985,165.43917243204524,0.09258684863523574,0.8120544949852123,-0.2099401398469949,
ba-400-14,3.985,127.29540358944622,0.01969096130179133,0.05511788247557193,-0.16288737797442598,
dms-400-14,3.985,165.09427541559398,0.09299789703247917,0.8017075999186778,-0.21368410770524182,
ba-400-15,3.985,119.65834603152426,0.02119309262166405,0.04932346344280422,-0.11485811584348175,
dms-400-15,3.985,171.9421989361541,0.08532837847495175,0.8115054403238985,-0.21488279787025288,
ba-400-16,3.985,134.514385011418,0.022160329377573264,0.05901220996537876,-0.11029783259188441,
dms-400-16,3.985,159.8065072986704,0.0996661101836394,0.80751226553582,-0.23697273257269555,
ba-400-17,3.985,118.63439541296613,0.022567221510883483,0.06887533182069563,-0.1073404617548792,
dms-400-17,3.985,154.4218889115141,0.10723908747979163,0.8063507086264373,-0.22201529480298013,
ba-400-18,3.985,117.15852412436749,0.02123806387882779,0.0432676760676402,-0.10512578241810065,
dms-400-18,3.985,168.55895044464415,0.08899157784899754,0.8055896839199668,-0.19570966084727928,
ba-400-19,3.985,114.01806775682527,0.024163894239187533,0.05116930622275509,-0.059441865137536735,
dms-400-19,3.985,168.73090936458559,0.08879964301651048,0.8119355593809595,-0.22768761274341517,
ba-400-20,3.985,117.20972559903039,0.018256578947368422,0.04837242247016557,-0.12968489546898754,
dms-400-20,3.985,149.80026627145895,0.11446649410411273,0.8094152773290475,-0.2209742783607723,
ba-400-21,3.985,119.49108659226428,0.01748031496062992,0.034051271211359965,-0.08711682080835507,
dms-400-21,3.985,166.6856915724922,0.09112417003739602,0.8084387527505175,-0.22230020145577437,
ba-400-22,3.985,131.91709432442786,0.025404448938321538,0.06986860052720631,-0.10779503835995707,
dms-400-22,3.985,164.4448836996761,0.0937794533459001,0.8098569245619112,-0.19443369035019709,
ba-400-23,3.985,117.55049882922658,0.018627450980392157,0.0251020366183881,-0.1018753360515846,
dms-400-23,3.985,171.85493817461284,0.08541994562884533,0.8133464015195406,-0.23824435123094276,
ba-400-24,3.985,117.63553789140423,0.01908646003262643,0.04051560702992832,-0.10256160056390194,
