,Variance
dms-200-26,35.499100000000006,
ba-200-27,24.4491,
dms-200-27,36.21909999999999,
ba-200-28,10.889099999999997,
dms-200-28,41.5491,
ba-200-29,16.1291,
dms-200-29,35.579100000000004,
ba-200-30,22.7391,
dms-200-30,42.9291,
ba-200-31,28.549100000000003,
dms-200-31,37.91910000000001,
ba-200-32,27.749100000000006,
dms-200-32,35.70910000000001,
ba-200-33,18.0591,
dms-200-33,36.12910000000001,
ba-200-34,19.839099999999995,
dms-200-34,33.4891,
ba-200-35,15.909099999999997,
dms-200-35,38.3391,
ba-200-36,16.439100000000003,
dms-200-36,35.8191,
ba-200-37,19.279100000000007,
dms-200-37,35.6491,
ba-200-38,16.5991,
dms-200-38,33.999100000000006,
ba-200-39,21.859099999999998,
dms-200-39,38.30910000000001,
ba-300-0,23.64626666666667,
dms-300-0,50.992933333333326,
ba-300-1,20.279600000000002,
dms-300-1,40.446266666666666,
ba-300-2,20.2196,
dms-300-2,49.03959999999999,
ba-300-3,20.46626666666667,
dms-300-3,53.732933333333335,
ba-300-4,23.04626666666666,
dms-300-4,42.452933333333334,
ba-300-5,24.4996,
dms-300-5,54.25293333333333,
ba-300-6,20.706266666666664,
dms-300-6,51.75959999999999,
ba-300-7,19.032933333333332,
dms-300-7,36.012933333333336,
ba-300-8,19.6196,
dms-300-8,46.8596,
ba-300-9,17.1196,
dms-300-9,55.19293333333333,
ba-300-10,20.586266666666667,
dms-300-10,45.9196,
ba-300-11,16.672933333333333,
dms-300-11,56.699600000000004,
ba-300-12,20.47293333333333,
dms-300-12,46.15293333333334,
ba-300-13,22.492933333333333,
dms-300-13,56.119600000000005,
ba-300-14,20.339599999999997,
dms-300-14,46.42626666666666,
ba-300-15,15.952933333333332,
dms-300-15,39.88626666666667,
ba-300-16,18.166266666666665,
dms-300-16,57.28626666666666,
ba-300-17,22.159599999999998,
dms-300-17,45.57959999999999,
ba-300-18,22.93293333333333,
dms-300-18,48.2796,
ba-300-19,24.9396,
dms-300-19,44.02626666666667,
ba-300-20,21.339599999999997,
dms-300-20,43.82626666666667,
ba-300-21,15.646266666666667,
dms-300-21,44.626266666666666,
ba-300-22,17.88626666666667,
dms-300-22,45.85293333333333,
ba-300-23,18.9996,
dms-300-23,39.03293333333333,
ba-300-24,21.60626666666667,
dms-300-24,48.94626666666666,
ba-300-25,21.60626666666667,
dms-300-25,59.126266666666666,
ba-300-26,20.092933333333335,
dms-300-26,45.53293333333333,
ba-300-27,21.392933333333332,
dms-300-27,41.432933333333324,
ba-300-28,19.286266666666663,
dms-300-28,43.41960000000001,
ba-300-29,22.67293333333334,
dms-300-29,43.599599999999995,
ba-300-30,23.586266666666674,
dms-300-30,47.75293333333334,
ba-300-31,20.339599999999997,
dms-300-31,45.46626666666667,
ba-300-32,20.159599999999998,
dms-300-32,47.8596,
